id,candidate_id,documents_verified,laptop_assigned,id_card_issued,workspace_assigned,orientation_completed,system_access_provided,comments,onboarding_date,hr_representative
1,1,Yes,Yes,Yes,Yes,Yes,Yes,All onboarding tasks completed successfully. New employee has been integrated into the team and is ready to start contributing.,2024-02-15 09:00:00,Lisa Brown
2,1,Yes,Yes,Yes,Yes,Yes,Yes,All onboarding tasks completed successfully. New employee has been integrated into the team and is ready to start contributing.,2025-09-08 11:50:56,Lisa Brown
3,2,Yes,Yes,Yes,Yes,Yes,Yes,,2025-09-09 10:52:36,dinesh
4,7,Yes,Yes,Yes,Yes,Yes,Yes,Good,2025-09-09 11:10:10,dinesh
5,6,Yes,Yes,No,No,No,No,,2025-09-09 11:17:05,dinesh
6,8,Yes,Yes,Yes,Yes,Yes,Yes,,2025-09-09 11:23:39,dinesh
7,9,Yes,Yes,Yes,No,Yes,Yes,,2025-09-09 12:20:03,dinesh
8,11,Yes,Yes,Yes,No,No,Yes,,2025-09-09 16:59:32,dinesh
9,12,Yes,Yes,Yes,No,No,Yes,,2025-09-09 17:12:07,dinesh
10,12,Yes,Yes,Yes,Yes,Yes,Yes,,2025-09-09 17:12:28,dinesh
11,10,Yes,Yes,Yes,No,No,No,,2025-09-09 17:42:21,dinesh
12,13,Yes,Yes,Yes,No,No,No,,2025-09-09 17:53:15,dinesh
13,14,Yes,Yes,Yes,No,Yes,Yes,,2025-09-10 15:13:40,dinesh
14,14,Yes,Yes,Yes,Yes,Yes,Yes,nan,2025-09-10 15:13:46,dinesh
